date,aiae,eq,debt
1945-10-01,0.30470669648677656,151.91,346.635
1946-10-01,0.3012992762032423,145.655,337.768
1947-10-01,0.28964535522866475,143.857,352.80899999999997
1948-10-01,0.28154279405600396,143.06400000000002,365.07899999999995
1949-10-01,0.2874882620290726,153.076,379.38399999999996
1950-10-01,0.30421687266579844,176.353,403.342
1951-10-01,0.3181852566589035,197.692,423.619
1952-01-01,0.3182230567148165,201.685,432.1
1952-04-01,0.320469555623357,207.97,440.984
1952-07-01,0.31619769312282253,207.383,448.482
1952-10-01,0.30188075634355377,197.219,456.082
1953-01-01,0.29441967609687314,193.757,464.341
1953-04-01,0.2811914574747096,184.623,471.951
1953-07-01,0.2721966516768051,180.195,481.808
1953-10-01,0.28622657317210953,195.07399999999998,486.46299999999997
1954-01-01,0.297053115533626,207.401,490.79400000000004
1954-04-01,0.31109202662008567,223.864,495.74300000000005
1954-07-01,0.3269791315625885,243.537,501.27200000000005
1954-10-01,0.3255836992185643,246.489,510.579
1955-01-01,0.32897380914722213,253.75,517.588
1955-04-01,0.34491453666275834,277.402,526.861
1955-07-01,0.353924917148958,293.047,534.9449999999999
1955-10-01,0.35215309412178675,296.23400000000004,544.974
1956-01-01,0.3630867672874965,314.586,551.835
1956-04-01,0.35429135458398653,305.098,556.052
1956-07-01,0.3476497175666134,299.35699999999997,561.731
1956-10-01,0.36047592844228327,320.993,569.477
1957-01-01,0.3465731295398832,306.79,578.4200000000001
1957-04-01,0.35897492361474304,326.03000000000003,582.195
1957-07-01,0.33582234759145974,298.582,590.525
1957-10-01,0.3343840752241769,299.142,595.4639999999999
1958-01-01,0.3431577869209715,314.93100000000004,602.813
1958-04-01,0.3518875125317197,332.394,612.209
1958-07-01,0.3711431918742003,364.63,617.821
1958-10-01,0.3747650029717668,378.956,632.2269999999999
1959-01-01,0.3757744381222361,386.54,642.1089999999999
1959-04-01,0.37985807007494166,401.189,654.9659999999999
1959-07-01,0.3717796113780316,394.795,667.111
1959-10-01,0.3810633535833371,417.131,677.519
1960-01-01,0.3655066415386084,394.287,684.454
1960-04-01,0.367439714656669,403.002,693.7819999999999
1960-07-01,0.34943393215350727,376.615,701.171
1960-10-01,0.37222702034689703,421.074,710.155
1961-01-01,0.39432432889309627,466.533,716.587
1961-04-01,0.39170086944867905,467.636,726.224
1961-07-01,0.39392617995299406,479.691,738.0269999999999
1961-10-01,0.4072199431997476,516.192,751.4079999999999
1962-01-01,0.39878276178667094,505.572,762.2160000000001
1962-04-01,0.33275859841617755,386.371,774.744
1962-07-01,0.34258378663070477,408.488,783.8860000000001
1962-10-01,0.38437084379084013,499.10900000000004,799.3999999999999
1963-01-01,0.3941381794832549,527.887,811.458
1963-04-01,0.4012495155863488,553.939,826.596
1963-07-01,0.4082565465357348,577.178,836.585
1963-10-01,0.3936778746958465,553.33,852.21
1964-01-01,0.40465210717948363,587.915,864.975
1964-04-01,0.4082535945514168,606.92,879.7049999999999
1964-07-01,0.4124603388360803,627.876,894.394
1964-10-01,0.4130234640839511,641.976,912.357
1965-01-01,0.41484517131953297,658.083,928.251
1965-04-01,0.40164695268072353,633.0450000000001,943.0780000000001
1965-07-01,0.4189030298643371,688.677,955.324
1965-10-01,0.4282190721543636,729.875,974.568
1966-01-01,0.4171904773943653,709.5730000000001,991.264
1966-04-01,0.4030284040846589,681.0909999999999,1008.842
1966-07-01,0.3747235160547564,611.587,1020.515
1966-10-01,0.38773112580902896,656.0999999999999,1036.052
1967-01-01,0.4139032347261432,742.4530000000001,1051.331
1967-04-01,0.41531531283623324,754.63,1062.375
1967-07-01,0.4260947073674644,804.5319999999999,1083.6209999999999
1967-10-01,0.42579962913668074,829.869,1119.097
1968-01-01,0.40503943361002176,771.076,1132.6299999999999
1968-04-01,0.4325697979444452,878.753,1152.718
1968-07-01,0.4321909291193842,895.3249999999999,1176.271
1968-10-01,0.4516554060838182,989.633,1201.491
1969-01-01,0.4353820915837513,939.784,1218.743
1969-04-01,0.42223578929021066,901.158,1233.095
1969-07-01,0.41137939035491083,875.844,1253.1979999999999
1969-10-01,0.3954835548053764,833.6560000000001,1274.285
1970-01-01,0.3840862316151226,808.263,1296.116
1970-04-01,0.32826980125198174,642.705,1315.151
1970-07-01,0.3588902737165045,748.681,1337.4189999999999
1970-10-01,0.37739216549497195,824.66,1360.494
1971-01-01,0.39749651628636123,912.811,1383.5890000000002
1971-04-01,0.3914493434564247,911.453,1416.953
1971-07-01,0.3841071591727631,903.856,1449.279
1971-10-01,0.39483110594591814,967.23,1482.5010000000002
1972-01-01,0.40379740209238496,1025.943,1514.794
1972-04-01,0.39869263993744736,1023.873,1544.203
1972-07-01,0.39965585299429607,1049.1129999999998,1575.9279999999999
1972-10-01,0.42414602289315456,1192.7440000000001,1619.363
1973-01-01,0.3991176863454381,1105.552,1664.4379999999999
1973-04-01,0.37523997681234383,1021.4549999999999,1700.6830000000002
1973-07-01,0.38568850577269437,1092.3519999999999,1739.861
1973-10-01,0.34253121502734346,928.312,1781.8410000000001
1974-01-01,0.33176487826464396,901.1600000000001,1815.1009999999999
1974-04-01,0.3027481807611604,807.694,1860.1799999999998
1974-07-01,0.2407685232155556,602.301,1899.2760000000003
1974-10-01,0.2437480721422453,623.481,1934.41
1975-01-01,0.2795522998141956,764.613,1970.521
1975-04-01,0.3047757664847719,882.4060000000001,2012.857
1975-07-01,0.2729811785418794,773.701,2060.5640000000003
1975-10-01,0.2814103464109874,829.793,2118.901
1976-01-01,0.30606519756955347,958.6769999999999,2173.587
1976-04-01,0.3042335668367333,978.354,2237.4449999999997
1976-07-01,0.30126704979454855,989.577,2295.14
1976-10-01,0.30306700168098644,1024.775,2356.573
1977-01-01,0.28151436180195416,948.012,2419.532
1977-04-01,0.2821630091055549,976.773,2484.96
1977-07-01,0.26721185955531795,937.737,2571.602
1977-10-01,0.25597249710004866,912.469,2652.246
1978-01-01,0.24025676588033065,865.451,2736.741
1978-04-01,0.24810540082426832,932.9820000000001,2827.4440000000004
1978-07-01,0.256286784376672,1005.421,2917.6099999999997
1978-10-01,0.24138769152805858,958.383,3011.923
1979-01-01,0.24796248358547457,1019.863,3093.11
1979-04-01,0.24670737515219412,1039.672,3174.519
1979-07-01,0.2525110310630813,1106.9470000000001,3276.81
1979-10-01,0.2521133373509989,1132.45,3359.379
1980-01-01,0.23445487198495663,1055.683,3447.03
1980-04-01,0.2548840108502415,1199.7369999999999,3507.255
1980-07-01,0.2725261070961965,1342.296,3583.089
1980-10-01,0.28596659718321754,1475.994,3685.427
1981-01-01,0.28313833139101724,1488.5910000000001,3768.878
1981-04-01,0.2742042784018517,1462.8110000000001,3871.9380000000006
1981-07-01,0.2419595970421177,1264.326,3961.0339999999997
1981-10-01,0.25075489367953285,1365.561,4080.239
1982-01-01,0.22639105023287043,1224.2130000000002,4183.302
1982-04-01,0.2182994328156281,1195.638,4281.4169999999995
1982-07-01,0.23034369798680923,1312.377,4385.0960000000005
